ID,Denumire,Destinatie,Tip,Pret
63,Oferta Jungle Amazon,Amazon,Excursie,1599.85
10,Oferta Vulcanica,Islanda,Aventura,1899.75
31,Oferta Nordica,Finlanda,Schi,1599.6
35,Oferta Scufundari,Maldive,Scufundari,2199.85
18,Oferta Galactica,California,Tur Spatial,500000
36,Oferta Scufundari,Maldive,Scufundari,2199.85
82,Oferta Delta Dunare,Dunare,Eco,499.6
69,Oferta Highland Scotia,Scotia,Aventura,1399.5
99,Oferta Desert Atacama,Atacama,Expeditie,1699.55
74,Oferta Wellness Seychelles,Seychelles,Wellness,1599.5
47,Oferta Romantica,Paris,City Break,1499.65
69,Oferta Highland Scotia,Scotia,Aventura,1399.5
25,Oferta Legende Transilvania,Transilvania,Mister,649.3
56,Oferta Festival Rio,Rio,City Break,1099.9
63,Oferta Jungle Amazon,Amazon,Excursie,1599.85
6,Oferta Ursari,Alaska,Safari,3499.5
7,Oferta Nocturna,Tokyo,City Break,999.99
49,Oferta Expeditie Amazon,Amazon,Explorare,1799.35
16,Oferta Galactica,California,Tur Spatial,500000
12,Oferta Vulcanica,Islanda,Aventura,1899.75
25,Oferta Legende Transilvania,Transilvania,Mister,649.3
18,Oferta Galactica,California,Tur Spatial,500000
61,Oferta Desert Sahara,Sahara,Aventura,1399.25
54,Oferta Culturala Quito,Quito,Culturala,749.45
8,Oferta Nocturna,Tokyo,City Break,999.99
36,Oferta Scufundari,Maldive,Scufundari,2199.85
79,Oferta NordExp Islanda,Islanda,Aventura,1799.3
69,Oferta Highland Scotia,Scotia,Aventura,1399.5
43,Oferta Familiala,Disneyland,Family,1299.2
33,Oferta Nordica,Finlanda,Schi,1599.6
23,Oferta Maritima,Galapagos,Croaziera,5499.45
20,Oferta Antarctica,Antarctica,Expeditie,11000
96,Oferta Cascada Iguazu,Iguazu,Aventura,1099.65
42,Oferta Rustica,Maramures,Eco,699.55
91,Oferta Delta Apuseni,Apuseni,Eco,549.45
58,Oferta Lux Monaco,Monaco,Lux,4999.99
73,Oferta Wellness Seychelles,Seychelles,Wellness,1599.5
89,Oferta Treno Italia,Italia,Tren,799
87,Oferta Tea India,India,Culturala,999.99
96,Oferta Cascada Iguazu,Iguazu,Aventura,1099.65
75,Oferta Culturala Budapesta,Budapesta,City Break,699.9
5,Oferta Ursari,Alaska,Safari,3499.5
37,Oferta Yoga,Bali,Wellness,1199.4
67,Oferta Riviera Coasta Azurie,Coasta Azurie,Sejur,1299.95
82,Oferta Delta Dunare,Dunare,Eco,499.6
40,Oferta Rustica,Maramures,Eco,699.55
21,Oferta Antarctica,Antarctica,Expeditie,11000
82,Oferta Delta Dunare,Dunare,Eco,499.6
61,Oferta Desert Sahara,Sahara,Aventura,1399.25
36,Oferta Scufundari,Maldive,Scufundari,2199.85
